Category,Name,Url,Image
Featherweight,Terrion Ware,/fighter/terrion-Ware,//media.ufc.tv/fighter_images/terrion_ware/WARE_TERRION.png
Featherweight,Song Yadong,/fighter/yadong-Song,//media.ufc.tv/fighter_images/Song_Yadong/SONG_YADONG.png
Featherweight,Shane Young,/fighter/shane-Young,//media.ufc.tv/fighter_images/Shane_Young/YOUNG_SHANE.png
Lightweight,Eddie Alvarez,/fighter/eddie-alvarez,//media.ufc.tv/fighter_images/Eddie_Alvarez/ALVAREZ_EDDIE_211.png
Lightweight,Thiago Alves,/fighter/thiago-Alves,//media.ufc.tv/fighter_images/Thiago_Alves/205-ALVES_THIAGO.png
Lightweight,Olivier Aubin-Merc...,/fighter/olivier-Aubin-Mercier,//media.ufc.tv/fighter_images//Olivier_AubinMercier/1AUBIN-MERCIER_OLIVIER.png
Lightweight,Tae Hyun Bang,/fighter/tae-Hyun-Bang,//media.ufc.tv/fighter_images/Tae_Hyun_Bang/BANG_TAE-HYUN.png
Lightweight,Edson  Barboza,/fighter/edson-Barboza,//media.ufc.tv/fighter_images/Edson_Barboza/BARBOZA_EDSON.png
Lightweight,Martin Bravo,/fighter/martin-bravo,//media.ufc.tv/fighter_images/Martin_Bravo/BRAVO_MARTIN.png
Lightweight,Will Brooks,/fighter/will-brooks,//media.ufc.tv/fighter_images/Will_Brooks/BROOKS_WILL.png
Lightweight,Damien Brown,/fighter/damien-brown,//media.ufc.tv/fighter_images/Damian_Brown/BROWN_DAMIEN.png
Lightweight,Mads Burnell,/fighter/mads-Burnell,//media.ufc.tv/fighter_images/Mads_Burnell/BURNELL_MADS.png
Lightweight,Gilbert Burns,/fighter/gilbert-Burns,//media.ufc.tv/fighter_images//Gilbert_Burns/1BURNS_GILBERT.png
Lightweight,Frank Camacho,/fighter/frank-Camacho,//media.ufc.tv/fighter_images/Frank_Camacho/CAMACHO_FRANK.png
Lightweight,Johnny Case,/fighter/johnny-Case,//media.ufc.tv/fighter_images/Johnny_Case/CASE_JOHNNY2.png
Lightweight,Michael Chiesa,/fighter/michael-Chiesa,//media.ufc.tv/fighter_images/Michael_Chiesa/CHIESA_MICHAEL2.png
Lightweight,Mitch Clarke,/fighter/mitch-Clarke,//media.ufc.tv/fighter_images/Mitch_Clarke/CLARKE_MITCH.png
Lightweight,Beneil Dariush,/fighter/beneil-Dariush,//media.ufc.tv/fighter_images/Beneil_Dariush/DARIUSH_BENEIL.png
Lightweight,Marc Diakiese,/fighter/marc-Diakiese,//media.ufc.tv/fighter_images/Marc_Diakiese/DIAKIESE_MARC2.png
Lightweight,Hacran Dias,/fighter/hacran-Dias,//media.ufc.tv/fighter_images//Hacran_Dias/DIAS_HACRAN.png
Lightweight,Drew Dober,/fighter/drew-Dober,//media.ufc.tv/fighter_images/Drew_Dober/DOBER_DREW2.png
Lightweight,Joe Duffy,/fighter/joseph-duffy,//media.ufc.tv/fighter_images/Joseph_Duffy/DUFFY_JOE.png
Lightweight,Evan Dunham,/fighter/evan-Dunham,//media.ufc.tv/fighter_images/Evan_Dunham/DUNHAM_EVAN.png
